pais;ano;quantidade_valor;quantidade_kg;type
libano;1974;0;0;importacao_vinhos_de_mesa
luxemburgo;1974;0;0;importacao_vinhos_de_mesa
macedonia;1974;0;0;importacao_vinhos_de_mesa
marrocos;1974;0;0;importacao_vinhos_de_mesa
mexico;1974;0;0;importacao_vinhos_de_mesa
moldavia;1974;0;0;importacao_vinhos_de_mesa
montenegro;1974;0;0;importacao_vinhos_de_mesa
noruega;1974;0;0;importacao_vinhos_de_mesa
nova zelaia;1974;0;0;importacao_vinhos_de_mesa
paises baixos _holaa;1974;0;0;importacao_vinhos_de_mesa
panama;1974;0;0;importacao_vinhos_de_mesa
peru;1974;0;0;importacao_vinhos_de_mesa
porto rico;1974;0;0;importacao_vinhos_de_mesa
portugal;1974;1917710;2245288;importacao_vinhos_de_mesa
reino unido;1974;0;0;importacao_vinhos_de_mesa
republica dominicana;1974;0;0;importacao_vinhos_de_mesa
romênia;1974;0;0;importacao_vinhos_de_mesa
russia;1974;0;0;importacao_vinhos_de_mesa
san marino;1974;0;0;importacao_vinhos_de_mesa
servia;1974;0;0;importacao_vinhos_de_mesa
siria;1974;0;0;importacao_vinhos_de_mesa
suazilaia;1974;0;0;importacao_vinhos_de_mesa
suica;1974;0;0;importacao_vinhos_de_mesa
tcheca, republica;1974;0;0;importacao_vinhos_de_mesa
tunisia;1974;0;0;importacao_vinhos_de_mesa
turquia;1974;0;0;importacao_vinhos_de_mesa
ucrania;1974;0;0;importacao_vinhos_de_mesa
uruguai;1974;0;0;importacao_vinhos_de_mesa
nao consta na tabela;1974;0;0;importacao_vinhos_de_mesa
nao declarados;1974;0;0;importacao_vinhos_de_mesa
outros;1974;28163;21501;importacao_vinhos_de_mesa
africa do sul;1975;0;0;importacao_vinhos_de_mesa
alemanha;1975;149931;134354;importacao_vinhos_de_mesa
argelia;1975;0;0;importacao_vinhos_de_mesa
arabia saudita;1975;0;0;importacao_vinhos_de_mesa
argentina;1975;90855;145823;importacao_vinhos_de_mesa
armênia;1975;0;0;importacao_vinhos_de_mesa
australia;1975;0;0;importacao_vinhos_de_mesa
