cod_produto;produto;ano;litros
derivados_mosto_parcialmente_fermentado_;MOSTO PARCIALMENTE FERMENTADO ;1975;0
derivados_outros_derivados;OUTROS DERIVADOS;1975;0
vinho_de_mesa;VINHO DE MESA;1976;144565438
vinho_mesa_tinto;TINTO;1976;118360170
vinho_mesa_branco;BRANCO;1976;1871473
vinho_mesa_rosado;ROSADO;1976;24333795
vinho_fino_de_mesa_vinifera;VINHO FINO DE MESA (VINIFERA);1976;34500590
vinho_viniferas_tinto;TINTO;1976;12405154
vinho_viniferas_branco;BRANCO;1976;19874659
vinho_viniferas_rosado;ROSADO;1976;2220777
suco;SUCO;1976;0
suco_de_uva_simples;SUCO DE UVA INTEGRAL;1976;0
suco_concentrado;SUCO DE UVA CONCENTRADO;1976;0
suco_de_uva_adocado;SUCO DE UVA ADOÇADO;1976;0
suco_de_uva_organico;SUCO DE UVA ORGÂNICO;1976;0
suco_de_uva_reconstituido;SUCO DE UVA RECONSTITUÍDO;1976;0
derivados;DERIVADOS;1976;22925012
derivados_espumante;ESPUMANTE;1976;0
derivados_espumante_moscatel;ESPUMANTE MOSCATEL;1976;0
derivados_base_espumante;BASE ESPUMANTE;1976;0
derivados_base_espumante_moscatel;BASE ESPUMANTE MOSCATEL;1976;0
derivados_base_champenoise_champanha;BASE CHAMPENOISE CHAMPANHA;1976;0
derivados_base_charmat_champanha;BASE CHARMAT CHAMPANHA;1976;0
derivados_bebida_de_uva;BEBIDA DE UVA;1976;0
derivados_polpa_de_uva;POLPA DE UVA;1976;0
derivados_mosto_simples;MOSTO SIMPLES;1976;18220527
derivados_mosto_concentrado;MOSTO CONCENTRADO;1976;0
derivados_mosto_de_uva_com_bagaco;MOSTO DE UVA COM BAGAÇO;1976;0
derivados_mosto_dessulfitado;MOSTO DESSULFITADO;1976;0
derivados_mistelas;MISTELAS;1976;205500
derivados_nectar_de_uva;NÉCTAR DE UVA;1976;0
derivados_licorosos;LICOROSOS;1976;4400
derivados_compostos;COMPOSTOS;1976;0
derivados_jeropiga;JEROPIGA;1976;107500
derivados_filtrado;FILTRADO;1976;0
derivados_frisante;FRISANTE;1976;0
derivados_vinho_leve;VINHO LEVE;1976;0
derivados_vinho_licoroso;VINHO LICOROSO;1976;0
derivados_brandy;BRANDY;1976;0
derivados_destilado;DESTILADO;1976;0
derivados_bagaceira;BAGACEIRA;1976;705912
derivados_licor_de_bagaceira;LICOR DE BAGACEIRA;1976;0
derivados_vinagre;VINAGRE;1976;288000
derivados_borra_liquida;BORRA LÍQUIDA;1976;3393173
derivados_borra_seca;BORRA SECA;1976;0
derivados_vinho_composto;VINHO COMPOSTO;1976;0
derivados_pisco;PISCO;1976;0
derivados_vinho_organico;VINHO ORGÂNICO;1976;0
derivados_espumante_organico;ESPUMANTE ORGÂNICO;1976;0
derivados_destilado_alcoolico_simples_de_bagaceira_;DESTILADO ALCOÓLICO SIMPLES DE BAGACEIRA ;1976;0
derivados_vinho_acidificado_;VINHO ACIDIFICADO ;1976;0
